,Date,Play,SecLeft,Shooter,ShotOutcome,ShotType
2455947,2015-10-31,S. Curry misses 3-pt jump shot from 24 ft,60,S. Curry - curryst01,miss,3-pt jump shot
2455950,2015-10-31,S. Curry misses 2-pt jump shot from 9 ft,35,S. Curry - curryst01,miss,2-pt jump shot
2471749,2015-11-04,S. Curry makes 3-pt jump shot from 26 ft,68,S. Curry - curryst01,make,3-pt jump shot
2482377,2015-11-07,S. Curry makes 3-pt jump shot from 23 ft (assist by H. Barnes),42,S. Curry - curryst01,make,3-pt jump shot
2497469,2015-11-12,S. Curry makes 2-pt jump shot from 18 ft (assist by A. Iguodala),115,S. Curry - curryst01,make,2-pt jump shot
2497489,2015-11-12,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),30,S. Curry - curryst01,make,3-pt jump shot
2506411,2015-11-14,S. Curry misses 2-pt layup from 2 ft,23,S. Curry - curryst01,miss,2-pt layup
2515452,2015-11-17,S. Curry makes 2-pt jump shot from 16 ft,88,S. Curry - curryst01,make,2-pt jump shot
2515470,2015-11-17,S. Curry misses 2-pt jump shot from 5 ft (block by K. Lowry),26,S. Curry - curryst01,miss,2-pt jump shot
2521543,2015-11-19,S. Curry makes 3-pt jump shot from 24 ft (assist by D. Green),107,S. Curry - curryst01,make,3-pt jump shot
2552428,2015-11-28,S. Curry makes 3-pt jump shot from 23 ft (assist by B. McLemore),97,S. Curry - curryse01,make,3-pt jump shot
2552431,2015-11-28,S. Curry makes 3-pt jump shot from 25 ft,79,S. Curry - curryse01,make,3-pt jump shot
2558829,2015-11-30,S. Curry makes 2-pt jump shot from 21 ft,106,S. Curry - curryst01,make,2-pt jump shot
2558831,2015-11-30,S. Curry misses 2-pt layup at rim,89,S. Curry - curryst01,miss,2-pt layup
2558843,2015-11-30,S. Curry makes 3-pt jump shot from 26 ft,52,S. Curry - curryst01,make,3-pt jump shot
2558846,2015-11-30,S. Curry misses 2-pt jump shot from 23 ft,17,S. Curry - curryst01,miss,2-pt jump shot
2573363,2015-12-05,S. Curry misses 3-pt jump shot from 25 ft,112,S. Curry - curryst01,miss,3-pt jump shot
2584483,2015-12-08,S. Curry misses 2-pt jump shot from 4 ft,103,S. Curry - curryst01,miss,2-pt jump shot
2584502,2015-12-08,S. Curry makes 2-pt layup from 3 ft,36,S. Curry - curryst01,make,2-pt layup
2594461,2015-12-11,S. Curry makes 3-pt jump shot from 28 ft (assist by S. Livingston),47,S. Curry - curryst01,make,3-pt jump shot
2594465,2015-12-11,S. Curry misses 2-pt jump shot from 17 ft,24,S. Curry - curryst01,miss,2-pt jump shot
2621686,2015-12-18,S. Curry misses 3-pt jump shot from 24 ft,51,S. Curry - curryst01,miss,3-pt jump shot
2640585,2015-12-25,S. Curry makes 2-pt layup from 1 ft,79,S. Curry - curryst01,make,2-pt layup
2640587,2015-12-25,S. Curry makes 2-pt layup from 2 ft,58,S. Curry - curryst01,make,2-pt layup
2640591,2015-12-25,S. Curry misses 3-pt jump shot from 26 ft,29,S. Curry - curryst01,miss,3-pt jump shot
2677703,2016-01-04,S. Curry misses 2-pt layup from 2 ft,115,S. Curry - curryst01,miss,2-pt layup
2677707,2016-01-04,S. Curry makes 2-pt layup from 2 ft (assist by H. Barnes),100,S. Curry - curryst01,make,2-pt layup
2677719,2016-01-04,S. Curry misses 3-pt jump shot from 26 ft,43,S. Curry - curryst01,miss,3-pt jump shot
2693699,2016-01-09,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),52,S. Curry - curryst01,make,3-pt jump shot
2693705,2016-01-09,S. Curry makes 2-pt jump shot from 22 ft,27,S. Curry - curryst01,make,2-pt jump shot
2699235,2016-01-11,S. Curry makes 2-pt jump shot from 18 ft,102,S. Curry - curryst01,make,2-pt jump shot
2699253,2016-01-11,S. Curry makes 3-pt jump shot from 25 ft,27,S. Curry - curryst01,make,3-pt jump shot
2706187,2016-01-13,S. Curry makes 3-pt jump shot from 24 ft,104,S. Curry - curryst01,make,3-pt jump shot
2706189,2016-01-13,S. Curry makes 2-pt layup from 2 ft,75,S. Curry - curryst01,make,2-pt layup
2706196,2016-01-13,S. Curry makes 3-pt jump shot from 33 ft,37,S. Curry - curryst01,make,3-pt jump shot
2762440,2016-01-30,S. Curry makes 2-pt layup at rim,47,S. Curry - curryst01,make,2-pt layup
2790297,2016-02-06,S. Curry misses 3-pt jump shot from 27 ft,80,S. Curry - curryst01,miss,3-pt jump shot
2790299,2016-02-06,S. Curry makes 2-pt layup from 2 ft (assist by D. Green),54,S. Curry - curryst01,make,2-pt layup
2790304,2016-02-06,S. Curry makes 2-pt jump shot from 17 ft,34,S. Curry - curryst01,make,2-pt jump shot
2799545,2016-02-09,S. Curry misses 3-pt jump shot from 25 ft,82,S. Curry - curryst01,miss,3-pt jump shot
2815808,2016-02-20,S. Curry misses 3-pt jump shot from 26 ft,114,S. Curry - curryst01,miss,3-pt jump shot
2822366,2016-02-22,S. Curry misses 3-pt jump shot from 26 ft,64,S. Curry - curryst01,miss,3-pt jump shot
2828013,2016-02-24,S. Curry misses 2-pt jump shot from 13 ft,89,S. Curry - curryst01,miss,2-pt jump shot
2828020,2016-02-24,S. Curry makes 3-pt jump shot from 26 ft,66,S. Curry - curryst01,make,3-pt jump shot
2828027,2016-02-24,S. Curry makes 3-pt jump shot from 26 ft,39,S. Curry - curryst01,make,3-pt jump shot
2839996,2016-02-27,S. Curry makes 3-pt jump shot from 26 ft,97,S. Curry - curryst01,make,3-pt jump shot
2856934,2016-03-03,S. Curry makes 3-pt jump shot from 26 ft,45,S. Curry - curryst01,make,3-pt jump shot
2871751,2016-03-07,S. Curry misses 2-pt jump shot from 3 ft,86,S. Curry - curryst01,miss,2-pt jump shot
2871762,2016-03-07,S. Curry makes 2-pt layup from 1 ft,44,S. Curry - curryst01,make,2-pt layup
2889312,2016-03-12,S. Curry makes 2-pt layup from 3 ft,56,S. Curry - curryst01,make,2-pt layup
