,Date,Play,SecLeft,Shooter,ShotOutcome,ShotType
1739048,2018-10-19,S. Curry makes 3-pt jump shot from 25 ft (assist by K. Durant),105,S. Curry - curryst01,make,3-pt jump shot
1739062,2018-10-19,S. Curry misses 2-pt layup from 3 ft,29,S. Curry - curryst01,miss,2-pt layup
1745469,2018-10-21,S. Curry misses 3-pt jump shot from 24 ft,33,S. Curry - curryst01,miss,3-pt jump shot
1766826,2018-10-28,S. Curry makes 3-pt jump shot from 25 ft,68,S. Curry - curryst01,make,3-pt jump shot
1766829,2018-10-28,S. Curry misses 2-pt layup from 1 ft (block by J. Allen),46,S. Curry - curryst01,miss,2-pt layup
1786534,2018-11-02,S. Curry makes 3-pt jump shot from 25 ft,87,S. Curry - curryst01,make,3-pt jump shot
1786540,2018-11-02,S. Curry makes 2-pt layup from 2 ft (assist by K. Durant),44,S. Curry - curryst01,make,2-pt layup
1786543,2018-11-02,S. Curry misses 3-pt jump shot from 26 ft,16,S. Curry - curryst01,miss,3-pt jump shot
1883875,2018-12-01,S. Curry makes 2-pt layup from 3 ft (assist by K. Durant),70,S. Curry - curryst01,make,2-pt layup
1905212,2018-12-07,S. Curry makes 2-pt layup from 1 ft (assist by K. Durant),120,S. Curry - curryst01,make,2-pt layup
1915660,2018-12-10,S. Curry misses 3-pt jump shot from 30 ft,47,S. Curry - curryst01,miss,3-pt jump shot
1928649,2018-12-14,S. Curry makes 2-pt layup from 1 ft (assist by K. Thompson),102,S. Curry - curryst01,make,2-pt layup
1945191,2018-12-19,S. Curry makes 2-pt layup from 2 ft,120,S. Curry - curryst01,make,2-pt layup
1945197,2018-12-19,S. Curry misses 3-pt jump shot from 26 ft,91,S. Curry - curryst01,miss,3-pt jump shot
1954611,2018-12-22,S. Curry misses 3-pt jump shot from 26 ft,92,S. Curry - curryst01,miss,3-pt jump shot
1959281,2018-12-23,S. Curry makes 2-pt layup from 3 ft,0,S. Curry - curryst01,make,2-pt layup
1969265,2018-12-27,S. Curry makes 3-pt jump shot from 26 ft (assist by K. Durant),66,S. Curry - curryst01,make,3-pt jump shot
1969272,2018-12-27,S. Curry misses 3-pt jump shot from 30 ft,24,S. Curry - curryst01,miss,3-pt jump shot
1992644,2019-01-03,S. Curry misses 3-pt jump shot from 29 ft,53,S. Curry - curryst01,miss,3-pt jump shot
1992651,2019-01-03,S. Curry misses 3-pt jump shot from 71 ft,0,S. Curry - curryst01,miss,3-pt jump shot
2001018,2019-01-05,S. Curry misses 3-pt jump shot from 26 ft,75,S. Curry - curryst01,miss,3-pt jump shot
2001026,2019-01-05,S. Curry misses 3-pt jump shot from 23 ft,19,S. Curry - curryst01,miss,3-pt jump shot
2028640,2019-01-13,S. Curry makes 2-pt jump shot from 13 ft (assist by K. Durant),99,S. Curry - curryst01,make,2-pt jump shot
2028645,2019-01-13,S. Curry makes 3-pt jump shot from 27 ft,42,S. Curry - curryst01,make,3-pt jump shot
2028654,2019-01-13,S. Curry misses 2-pt jump shot from 5 ft,14,S. Curry - curryst01,miss,2-pt jump shot
2038429,2019-01-16,S. Curry makes 2-pt layup from 9 ft,111,S. Curry - curryst01,make,2-pt layup
2038436,2019-01-16,S. Curry misses 3-pt jump shot from 30 ft,62,S. Curry - curryst01,miss,3-pt jump shot
2063526,2019-01-24,S. Curry misses 3-pt jump shot from 29 ft,41,S. Curry - curryst01,miss,3-pt jump shot
2063529,2019-01-24,S. Curry misses 2-pt layup from 1 ft (block by T. Ariza),21,S. Curry - curryst01,miss,2-pt layup
2087105,2019-01-31,S. Curry misses 3-pt jump shot from 28 ft (block by B. Simmons),117,S. Curry - curryst01,miss,3-pt jump shot
2087108,2019-01-31,S. Curry misses 2-pt layup from 2 ft (block by M. Muscala),92,S. Curry - curryst01,miss,2-pt layup
2087116,2019-01-31,S. Curry makes 3-pt jump shot from 26 ft (assist by A. Iguodala),66,S. Curry - curryst01,make,3-pt jump shot
2087119,2019-01-31,S. Curry misses 3-pt jump shot from 30 ft,48,S. Curry - curryst01,miss,3-pt jump shot
2125937,2019-02-12,S. Curry misses 3-pt jump shot from 30 ft,100,S. Curry - curryst01,miss,3-pt jump shot
2135001,2019-02-21,S. Curry makes 3-pt jump shot from 26 ft,103,S. Curry - curryst01,make,3-pt jump shot
2135005,2019-02-21,S. Curry misses 2-pt layup from 4 ft (block by D. Fox),72,S. Curry - curryst01,miss,2-pt layup
2144724,2019-02-23,S. Curry makes 3-pt jump shot from 23 ft (assist by K. Thompson),117,S. Curry - curryst01,make,3-pt jump shot
2147598,2019-02-25,S. Curry misses 3-pt jump shot from 29 ft,87,S. Curry - curryst01,miss,3-pt jump shot
2147601,2019-02-25,S. Curry makes 3-pt jump shot from 28 ft (assist by D. Green),58,S. Curry - curryst01,make,3-pt jump shot
2147605,2019-02-25,S. Curry misses 3-pt jump shot from 33 ft,24,S. Curry - curryst01,miss,3-pt jump shot
2160063,2019-02-28,S. Curry misses 2-pt jump shot from 15 ft,87,S. Curry - curryst01,miss,2-pt jump shot
