,Date,Play,SecLeft,Shooter,ShotOutcome,ShotType
2359157,2020-12-27,S. Curry makes 2-pt layup from 2 ft,46,S. Curry - curryst01,make,2-pt layup
2384380,2021-01-03,S. Curry makes 3-pt jump shot from 27 ft,66,S. Curry - curryst01,make,3-pt jump shot
2384383,2021-01-03,S. Curry makes 3-pt jump shot from 27 ft (assist by D. Green),42,S. Curry - curryst01,make,3-pt jump shot
2417020,2021-01-08,S. Curry makes 3-pt jump shot from 25 ft,69,S. Curry - curryst01,make,3-pt jump shot
2425575,2021-01-12,S. Curry misses 3-pt jump shot from 26 ft,7,S. Curry - curryst01,miss,3-pt jump shot
2430738,2021-01-18,S. Curry makes 3-pt jump shot from 28 ft,67,S. Curry - curryst01,make,3-pt jump shot
2430743,2021-01-18,S. Curry misses 3-pt jump shot from 27 ft,37,S. Curry - curryst01,miss,3-pt jump shot
2430751,2021-01-18,S. Curry misses 2-pt layup from 2 ft,12,S. Curry - curryst01,miss,2-pt layup
