,Date,Play,SecLeft,Shooter,ShotOutcome,ShotType
1635927,2017-03-28,S. Curry makes 3-pt jump shot from 26 ft,106,S. Curry - curryst01,make,3-pt jump shot
1635933,2017-03-28,S. Curry makes 2-pt jump shot from 18 ft,45,S. Curry - curryst01,make,2-pt jump shot
1648634,2017-03-31,S. Curry misses 3-pt jump shot from 29 ft,71,S. Curry - curryst01,miss,3-pt jump shot
1648638,2017-03-31,S. Curry makes 2-pt jump shot from 11 ft,47,S. Curry - curryst01,make,2-pt jump shot
1655829,2017-04-02,S. Curry makes 2-pt jump shot from 14 ft,80,S. Curry - curryst01,make,2-pt jump shot
1664797,2017-04-05,S. Curry misses 2-pt jump shot from 20 ft,45,S. Curry - curryst01,miss,2-pt jump shot
1664799,2017-04-05,S. Curry makes 2-pt layup at rim,32,S. Curry - curryst01,make,2-pt layup
1702760,2017-04-22,S. Curry makes 3-pt jump shot from 25 ft,49,S. Curry - curryst01,make,3-pt jump shot
1702765,2017-04-22,S. Curry makes 2-pt jump shot from 9 ft,26,S. Curry - curryst01,make,2-pt jump shot
1716196,2017-05-06,S. Curry makes 3-pt jump shot from 25 ft,30,S. Curry - curryst01,make,3-pt jump shot
1720294,2017-05-14,S. Curry misses 3-pt jump shot from 25 ft,116,S. Curry - curryst01,miss,3-pt jump shot
1720298,2017-05-14,S. Curry makes 3-pt jump shot from 28 ft (assist by S. Livingston),108,S. Curry - curryst01,make,3-pt jump shot
1720309,2017-05-14,S. Curry makes 2-pt layup from 1 ft (assist by K. Durant),39,S. Curry - curryst01,make,2-pt layup
1720316,2017-05-14,S. Curry makes 2-pt jump shot from 13 ft,10,S. Curry - curryst01,make,2-pt jump shot
1726764,2017-06-12,S. Curry misses 3-pt jump shot from 28 ft,97,S. Curry - curryst01,miss,3-pt jump shot
1726771,2017-06-12,S. Curry makes 3-pt jump shot from 26 ft,42,S. Curry - curryst01,make,3-pt jump shot
1726773,2017-06-12,S. Curry misses 3-pt jump shot from 24 ft,21,S. Curry - curryst01,miss,3-pt jump shot
