,Date,Play,SecLeft,Shooter,ShotOutcome,ShotType
1142089,2016-10-28,S. Curry makes 2-pt layup from 1 ft,107,S. Curry - curryst01,make,2-pt layup
1142095,2016-10-28,S. Curry misses 3-pt jump shot from 26 ft,82,S. Curry - curryst01,miss,3-pt jump shot
1148181,2016-10-30,S. Curry misses 2-pt jump shot from 17 ft (block by D. Booker),25,S. Curry - curryst01,miss,2-pt jump shot
1176038,2016-11-07,S. Curry misses 2-pt jump shot from 6 ft,88,S. Curry - curryst01,miss,2-pt jump shot
1206799,2016-11-16,S. Curry misses 2-pt jump shot from 19 ft,119,S. Curry - curryst01,miss,2-pt jump shot
1206802,2016-11-16,S. Curry misses 3-pt jump shot from 26 ft,98,S. Curry - curryst01,miss,3-pt jump shot
1212222,2016-11-18,S. Curry makes 3-pt jump shot from 24 ft,73,S. Curry - curryst01,make,3-pt jump shot
1212225,2016-11-18,S. Curry makes 2-pt layup from 2 ft,49,S. Curry - curryst01,make,2-pt layup
1212228,2016-11-18,S. Curry misses 3-pt jump shot from 30 ft,13,S. Curry - curryst01,miss,3-pt jump shot
1218729,2016-11-19,S. Curry misses 3-pt jump shot from 27 ft,74,S. Curry - curryst01,miss,3-pt jump shot
1240297,2016-11-25,S. Curry makes 2-pt layup from 2 ft,116,S. Curry - curryst01,make,2-pt layup
1249813,2016-11-28,S. Curry misses 3-pt jump shot from 27 ft,57,S. Curry - curryst01,miss,3-pt jump shot
1249820,2016-11-28,S. Curry misses 3-pt jump shot from 27 ft,20,S. Curry - curryst01,miss,3-pt jump shot
1259547,2016-12-01,S. Curry makes 2-pt jump shot from 20 ft,109,S. Curry - curryst01,make,2-pt jump shot
1259549,2016-12-01,S. Curry misses 3-pt jump shot from 27 ft,70,S. Curry - curryst01,miss,3-pt jump shot
1284638,2016-12-08,S. Curry makes 2-pt layup from 2 ft,89,S. Curry - curryst01,make,2-pt layup
1300837,2016-12-13,S. Curry makes 2-pt layup from 2 ft (assist by D. Green),113,S. Curry - curryst01,make,2-pt layup
1300849,2016-12-13,S. Curry misses 2-pt jump shot from 21 ft,48,S. Curry - curryst01,miss,2-pt jump shot
1340150,2016-12-25,S. Curry makes 3-pt jump shot from 26 ft (assist by K. Durant),74,S. Curry - curryst01,make,3-pt jump shot
1352767,2016-12-28,S. Curry makes 2-pt layup from 2 ft,14,S. Curry - curryst01,make,2-pt layup
1367848,2017-01-02,S. Curry misses 2-pt jump shot from 20 ft,107,S. Curry - curryst01,miss,2-pt jump shot
1367859,2017-01-02,S. Curry misses 3-pt jump shot from 24 ft,30,S. Curry - curryst01,miss,3-pt jump shot
1374105,2017-01-04,S. Curry misses 2-pt jump shot from 20 ft,97,S. Curry - curryst01,miss,2-pt jump shot
1374116,2017-01-04,S. Curry misses 2-pt jump shot from 24 ft,32,S. Curry - curryst01,miss,2-pt jump shot
1381425,2017-01-06,S. Curry makes 2-pt jump shot from 6 ft,80,S. Curry - curryst01,make,2-pt jump shot
1381429,2017-01-06,S. Curry misses 3-pt jump shot from 26 ft,42,S. Curry - curryst01,miss,3-pt jump shot
1381439,2017-01-06,S. Curry misses 3-pt jump shot from 35 ft,1,S. Curry - curryst01,miss,3-pt jump shot
1389290,2017-01-08,S. Curry makes 3-pt jump shot from 23 ft (assist by K. Thompson),112,S. Curry - curryst01,make,3-pt jump shot
1389292,2017-01-08,S. Curry misses 3-pt jump shot from 26 ft,97,S. Curry - curryst01,miss,3-pt jump shot
1394190,2017-01-10,S. Curry makes 2-pt layup from 2 ft,78,S. Curry - curryst01,make,2-pt layup
1436064,2017-01-23,S. Curry misses 2-pt jump shot from 22 ft,0,S. Curry - curryst01,miss,2-pt jump shot
1442922,2017-01-25,S. Curry makes 3-pt jump shot from 25 ft,68,S. Curry - curryst01,make,3-pt jump shot
1442925,2017-01-25,S. Curry misses 3-pt jump shot from 33 ft,26,S. Curry - curryst01,miss,3-pt jump shot
1480109,2017-02-04,S. Curry misses 3-pt jump shot from 27 ft,90,S. Curry - curryst01,miss,3-pt jump shot
1480117,2017-02-04,S. Curry misses 3-pt jump shot from 28 ft,17,S. Curry - curryst01,miss,3-pt jump shot
1537342,2017-02-28,S. Curry makes 2-pt layup from 2 ft,42,S. Curry - curryst01,make,2-pt layup
1537348,2017-02-28,S. Curry misses 3-pt jump shot from 31 ft,7,S. Curry - curryst01,miss,3-pt jump shot
1544934,2017-03-02,S. Curry misses 2-pt layup from 2 ft,87,S. Curry - curryst01,miss,2-pt layup
1544938,2017-03-02,S. Curry misses 3-pt jump shot from 26 ft,61,S. Curry - curryst01,miss,3-pt jump shot
1544943,2017-03-02,S. Curry misses 2-pt jump shot from 19 ft,32,S. Curry - curryst01,miss,2-pt jump shot
1554983,2017-03-05,S. Curry makes 2-pt jump shot from 22 ft,69,S. Curry - curryst01,make,2-pt jump shot
1559157,2017-03-06,S. Curry makes 2-pt layup from 2 ft,119,S. Curry - curryst01,make,2-pt layup
1559173,2017-03-06,S. Curry misses 3-pt jump shot from 25 ft,34,S. Curry - curryst01,miss,3-pt jump shot
1573139,2017-03-10,S. Curry misses 2-pt jump shot from 18 ft,25,S. Curry - curryst01,miss,2-pt jump shot
1573141,2017-03-10,S. Curry makes 2-pt jump shot from 17 ft,20,S. Curry - curryst01,make,2-pt jump shot
1573150,2017-03-10,S. Curry misses 2-pt jump shot from 18 ft,5,S. Curry - curryst01,miss,2-pt jump shot
1630002,2017-03-26,S. Curry misses 3-pt jump shot from 29 ft,52,S. Curry - curryst01,miss,3-pt jump shot
