,Date,Play,SecLeft,Shooter,ShotOutcome,ShotType
597396,2019-10-23,D. Lillard makes 3-pt jump shot from 30 ft,118,D. Lillard - lillada01,make,3-pt jump shot
597406,2019-10-23,D. Lillard misses 2-pt layup from 1 ft,67,D. Lillard - lillada01,miss,2-pt layup
597428,2019-10-23,D. Lillard makes 2-pt layup from 2 ft,24,D. Lillard - lillada01,make,2-pt layup
609809,2019-10-27,D. Lillard misses 2-pt jump shot from 6 ft,120,D. Lillard - lillada01,miss,2-pt jump shot
609824,2019-10-27,D. Lillard makes 2-pt layup from 2 ft,26,D. Lillard - lillada01,make,2-pt layup
614698,2019-10-28,D. Lillard makes 3-pt jump shot from 26 ft (assist by A. Tolliver),117,D. Lillard - lillada01,make,3-pt jump shot
614705,2019-10-28,D. Lillard makes 2-pt dunk from 2 ft,70,D. Lillard - lillada01,make,2-pt dunk
614714,2019-10-28,D. Lillard makes 2-pt layup from 3 ft,40,D. Lillard - lillada01,make,2-pt layup
614717,2019-10-28,D. Lillard misses 3-pt jump shot from 26 ft,16,D. Lillard - lillada01,miss,3-pt jump shot
614727,2019-10-28,D. Lillard misses 3-pt jump shot from 28 ft,3,D. Lillard - lillada01,miss,3-pt jump shot
614729,2019-10-28,D. Lillard misses 3-pt jump shot from 23 ft,0,D. Lillard - lillada01,miss,3-pt jump shot
620953,2019-10-30,D. Lillard misses 3-pt jump shot from 26 ft,52,D. Lillard - lillada01,miss,3-pt jump shot
637689,2019-11-04,D. Lillard misses 3-pt jump shot from 26 ft,35,D. Lillard - lillada01,miss,3-pt jump shot
646830,2019-11-07,D. Lillard misses 3-pt jump shot from 26 ft,6,D. Lillard - lillada01,miss,3-pt jump shot
651722,2019-11-08,D. Lillard makes 2-pt jump shot from 10 ft (assist by K. Bazemore),100,D. Lillard - lillada01,make,2-pt jump shot
651737,2019-11-08,D. Lillard misses 3-pt jump shot from 27 ft,11,D. Lillard - lillada01,miss,3-pt jump shot
651745,2019-11-08,D. Lillard makes 3-pt jump shot from 33 ft,0,D. Lillard - lillada01,make,3-pt jump shot
657889,2019-11-10,D. Lillard makes 2-pt layup from 1 ft,7,D. Lillard - lillada01,make,2-pt layup
678296,2019-11-16,D. Lillard misses 3-pt jump shot from 26 ft,90,D. Lillard - lillada01,miss,3-pt jump shot
678303,2019-11-16,D. Lillard misses 2-pt jump shot from 12 ft,49,D. Lillard - lillada01,miss,2-pt jump shot
701643,2019-11-23,D. Lillard misses 3-pt jump shot from 31 ft,113,D. Lillard - lillada01,miss,3-pt jump shot
701646,2019-11-23,D. Lillard misses 2-pt layup from 1 ft,91,D. Lillard - lillada01,miss,2-pt layup
701669,2019-11-23,D. Lillard makes 3-pt jump shot from 37 ft,12,D. Lillard - lillada01,make,3-pt jump shot
723701,2019-11-29,D. Lillard misses 2-pt jump shot from 9 ft,9,D. Lillard - lillada01,miss,2-pt jump shot
741066,2019-12-04,D. Lillard makes 2-pt layup from 1 ft,56,D. Lillard - lillada01,make,2-pt layup
781164,2019-12-16,D. Lillard misses 2-pt layup from 1 ft,74,D. Lillard - lillada01,miss,2-pt layup
781172,2019-12-16,D. Lillard misses 2-pt layup at rim (block by A. Baynes),33,D. Lillard - lillada01,miss,2-pt layup
781180,2019-12-16,D. Lillard makes 2-pt layup from 5 ft,26,D. Lillard - lillada01,make,2-pt layup
788303,2019-12-18,D. Lillard makes 2-pt layup from 2 ft,65,D. Lillard - lillada01,make,2-pt layup
799197,2019-12-21,D. Lillard misses 3-pt jump shot from 24 ft,44,D. Lillard - lillada01,miss,3-pt jump shot
805662,2019-12-23,D. Lillard misses 3-pt jump shot from 25 ft,90,D. Lillard - lillada01,miss,3-pt jump shot
805666,2019-12-23,D. Lillard makes 2-pt layup from 1 ft,58,D. Lillard - lillada01,make,2-pt layup
805679,2019-12-23,D. Lillard misses 2-pt layup from 1 ft,25,D. Lillard - lillada01,miss,2-pt layup
811753,2019-12-26,D. Lillard makes 3-pt jump shot from 30 ft,87,D. Lillard - lillada01,make,3-pt jump shot
811773,2019-12-26,D. Lillard misses 2-pt layup from 4 ft (block by R. Gobert),5,D. Lillard - lillada01,miss,2-pt layup
826375,2019-12-30,D. Lillard misses 2-pt layup from 1 ft,99,D. Lillard - lillada01,miss,2-pt layup
826379,2019-12-30,D. Lillard makes 2-pt layup from 1 ft,73,D. Lillard - lillada01,make,2-pt layup
826388,2019-12-30,D. Lillard misses 2-pt layup from 1 ft,51,D. Lillard - lillada01,miss,2-pt layup
826395,2019-12-30,D. Lillard makes 2-pt layup from 1 ft,38,D. Lillard - lillada01,make,2-pt layup
826406,2019-12-30,D. Lillard misses 3-pt jump shot from 27 ft,9,D. Lillard - lillada01,miss,3-pt jump shot
851243,2020-01-07,D. Lillard makes 3-pt jump shot from 34 ft,38,D. Lillard - lillada01,make,3-pt jump shot
872821,2020-01-13,D. Lillard makes 2-pt layup from 1 ft,17,D. Lillard - lillada01,make,2-pt layup
880088,2020-01-15,D. Lillard misses 3-pt jump shot from 33 ft,15,D. Lillard - lillada01,miss,3-pt jump shot
886728,2020-01-17,D. Lillard misses 3-pt jump shot from 28 ft,42,D. Lillard - lillada01,miss,3-pt jump shot
899411,2020-01-20,D. Lillard misses 2-pt layup from 1 ft (block by W. Cauley-Stein),41,D. Lillard - lillada01,miss,2-pt layup
899418,2020-01-20,D. Lillard makes 3-pt jump shot from 25 ft,15,D. Lillard - lillada01,make,3-pt jump shot
906948,2020-01-23,D. Lillard makes 2-pt layup from 1 ft,116,D. Lillard - lillada01,make,2-pt layup
906951,2020-01-23,D. Lillard misses 3-pt jump shot from 28 ft,79,D. Lillard - lillada01,miss,3-pt jump shot
927209,2020-01-29,D. Lillard misses 2-pt layup at rim,57,D. Lillard - lillada01,miss,2-pt layup
927213,2020-01-29,D. Lillard makes 2-pt layup from 1 ft,41,D. Lillard - lillada01,make,2-pt layup
927216,2020-01-29,D. Lillard misses 3-pt jump shot from 34 ft,21,D. Lillard - lillada01,miss,3-pt jump shot
933776,2020-01-31,D. Lillard makes 2-pt jump shot from 20 ft,88,D. Lillard - lillada01,make,2-pt jump shot
