,Date,Play,SecLeft,Shooter,ShotOutcome,ShotType
2354890,2020-12-26,D. Lillard makes 2-pt jump shot from 5 ft,52,D. Lillard - lillada01,make,2-pt jump shot
2354894,2020-12-26,D. Lillard misses 3-pt jump shot from 26 ft,34,D. Lillard - lillada01,miss,3-pt jump shot
2354906,2020-12-26,D. Lillard misses 2-pt jump shot from 10 ft,0,D. Lillard - lillada01,miss,2-pt jump shot
2384381,2021-01-03,D. Lillard misses 3-pt jump shot from 32 ft,51,D. Lillard - lillada01,miss,3-pt jump shot
2390916,2021-01-05,D. Lillard makes 3-pt jump shot from 26 ft (assist by R. Covington),5,D. Lillard - lillada01,make,3-pt jump shot
2394498,2021-01-13,D. Lillard makes 2-pt layup from 2 ft,28,D. Lillard - lillada01,make,2-pt layup
