,Date,Play,SecLeft,Shooter,ShotOutcome,ShotType
1734699,2018-10-18,D. Lillard makes 2-pt layup from 4 ft,66,D. Lillard - lillada01,make,2-pt layup
1749199,2018-10-22,D. Lillard makes 2-pt jump shot from 7 ft,80,D. Lillard - lillada01,make,2-pt jump shot
1749201,2018-10-22,D. Lillard makes 3-pt jump shot from 25 ft,52,D. Lillard - lillada01,make,3-pt jump shot
1749204,2018-10-22,D. Lillard misses 3-pt jump shot from 25 ft,22,D. Lillard - lillada01,miss,3-pt jump shot
1749219,2018-10-22,D. Lillard misses 2-pt layup from 1 ft (block by B. Beal),0,D. Lillard - lillada01,miss,2-pt layup
1757832,2018-10-25,D. Lillard misses 3-pt jump shot from 30 ft,92,D. Lillard - lillada01,miss,3-pt jump shot
1765443,2018-10-27,D. Lillard misses 2-pt layup from 2 ft,103,D. Lillard - lillada01,miss,2-pt layup
1765453,2018-10-27,D. Lillard makes 2-pt layup from 1 ft,51,D. Lillard - lillada01,make,2-pt layup
1768730,2018-10-29,D. Lillard makes 3-pt jump shot from 27 ft (assist by Z. Collins),51,D. Lillard - lillada01,make,3-pt jump shot
1768737,2018-10-29,D. Lillard misses 3-pt jump shot from 31 ft,27,D. Lillard - lillada01,miss,3-pt jump shot
1790266,2018-11-03,D. Lillard misses 2-pt layup from 3 ft (block by J. McGee),70,D. Lillard - lillada01,miss,2-pt layup
1805803,2018-11-08,D. Lillard misses 2-pt jump shot from 17 ft,78,D. Lillard - lillada01,miss,2-pt jump shot
1805808,2018-11-08,D. Lillard makes 2-pt layup from 2 ft,44,D. Lillard - lillada01,make,2-pt layup
1816816,2018-11-11,D. Lillard misses 2-pt jump shot from 14 ft,20,D. Lillard - lillada01,miss,2-pt jump shot
1827846,2018-11-14,D. Lillard misses 2-pt layup from 1 ft (block by L. James),64,D. Lillard - lillada01,miss,2-pt layup
1839808,2018-11-18,D. Lillard misses 2-pt layup from 5 ft,92,D. Lillard - lillada01,miss,2-pt layup
1839821,2018-11-18,D. Lillard misses 2-pt dunk from 4 ft (block by T. Bryant),38,D. Lillard - lillada01,miss,2-pt dunk
1846402,2018-11-20,D. Lillard makes 2-pt jump shot from 13 ft,44,D. Lillard - lillada01,make,2-pt jump shot
1846407,2018-11-20,D. Lillard misses 2-pt jump shot from 14 ft,11,D. Lillard - lillada01,miss,2-pt jump shot
1866139,2018-11-25,D. Lillard makes 3-pt jump shot from 25 ft (assist by M. Leonard),113,D. Lillard - lillada01,make,3-pt jump shot
1866147,2018-11-25,D. Lillard misses 3-pt jump shot from 25 ft,71,D. Lillard - lillada01,miss,3-pt jump shot
1866159,2018-11-25,D. Lillard misses 2-pt jump shot from 17 ft,32,D. Lillard - lillada01,miss,2-pt jump shot
1866170,2018-11-25,D. Lillard misses 3-pt jump shot from 23 ft,0,D. Lillard - lillada01,miss,3-pt jump shot
1875808,2018-11-28,D. Lillard misses 2-pt jump shot from 7 ft,76,D. Lillard - lillada01,miss,2-pt jump shot
1875811,2018-11-28,D. Lillard makes 2-pt jump shot from 2 ft,55,D. Lillard - lillada01,make,2-pt jump shot
1875815,2018-11-28,D. Lillard misses 2-pt layup from 2 ft (block by J. Isaac),33,D. Lillard - lillada01,miss,2-pt layup
1882862,2018-11-30,D. Lillard misses 2-pt layup from 2 ft,90,D. Lillard - lillada01,miss,2-pt layup
1888902,2018-12-02,D. Lillard misses 3-pt jump shot from 28 ft,37,D. Lillard - lillada01,miss,3-pt jump shot
1893433,2018-12-04,D. Lillard makes 2-pt hook shot from 7 ft,110,D. Lillard - lillada01,make,2-pt hook shot
1893439,2018-12-04,D. Lillard misses 2-pt layup from 1 ft,81,D. Lillard - lillada01,miss,2-pt layup
1893441,2018-12-04,D. Lillard makes 2-pt layup at rim,80,D. Lillard - lillada01,make,2-pt layup
1908802,2018-12-08,D. Lillard makes 3-pt jump shot from 27 ft,58,D. Lillard - lillada01,make,3-pt jump shot
1916530,2018-12-11,D. Lillard misses 2-pt layup from 1 ft,101,D. Lillard - lillada01,miss,2-pt layup
1916536,2018-12-11,D. Lillard misses 2-pt layup from 1 ft,89,D. Lillard - lillada01,miss,2-pt layup
