,Date,Play,SecLeft,Shooter,ShotOutcome,ShotType
2445629,2015-10-28,D. Booker makes 2-pt layup from 2 ft (assist by S. Weems),111,D. Booker - bookede01,make,2-pt layup
2445639,2015-10-28,D. Booker makes 2-pt dunk at rim (assist by A. Goodwin),44,D. Booker - bookede01,make,2-pt dunk
2454471,2015-10-30,D. Booker misses 2-pt jump shot from 16 ft,91,D. Booker - bookede01,miss,2-pt jump shot
2470795,2015-11-04,D. Booker makes 2-pt layup from 1 ft (assist by M. Teletovi),91,D. Booker - bookede01,make,2-pt layup
2484749,2015-11-08,D. Booker misses 2-pt jump shot from 23 ft,28,D. Booker - bookede01,miss,2-pt jump shot
2512326,2015-11-16,D. Booker makes 3-pt jump shot from 23 ft (assist by A. Goodwin),95,D. Booker - bookede01,make,3-pt jump shot
2548398,2015-11-27,D. Booker misses 2-pt jump shot from 6 ft (block by F. Ezeli),105,D. Booker - bookede01,miss,2-pt jump shot
2582165,2015-12-07,D. Booker makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),99,D. Booker - bookede01,make,3-pt jump shot
2631171,2015-12-21,D. Booker makes 2-pt layup from 2 ft,120,D. Booker - bookede01,make,2-pt layup
2631191,2015-12-21,D. Booker makes 2-pt layup from 2 ft,29,D. Booker - bookede01,make,2-pt layup
2631196,2015-12-21,D. Booker misses 2-pt jump shot from 5 ft,12,D. Booker - bookede01,miss,2-pt jump shot
2646325,2015-12-26,D. Booker misses 3-pt jump shot from 24 ft,54,D. Booker - bookede01,miss,3-pt jump shot
2646351,2015-12-26,D. Booker makes 2-pt layup from 1 ft,5,D. Booker - bookede01,make,2-pt layup
2663325,2015-12-31,D. Booker misses 2-pt layup from 1 ft (block by R. Westbrook),5,D. Booker - bookede01,miss,2-pt layup
2673213,2016-01-03,D. Booker misses 3-pt jump shot from 25 ft,65,D. Booker - bookede01,miss,3-pt jump shot
2689767,2016-01-08,D. Booker misses 3-pt jump shot from 25 ft,94,D. Booker - bookede01,miss,3-pt jump shot
2711720,2016-01-15,D. Booker misses 3-pt jump shot from 23 ft,28,D. Booker - bookede01,miss,3-pt jump shot
2726910,2016-01-19,D. Booker makes 3-pt jump shot from 24 ft,56,D. Booker - bookede01,make,3-pt jump shot
2726915,2016-01-19,D. Booker misses 3-pt jump shot from 24 ft,33,D. Booker - bookede01,miss,3-pt jump shot
2740470,2016-01-23,D. Booker misses 2-pt layup from 2 ft (block by A. Horford),62,D. Booker - bookede01,miss,2-pt layup
2759307,2016-01-29,D. Booker misses 2-pt jump shot from 16 ft,42,D. Booker - bookede01,miss,2-pt jump shot
2759309,2016-01-29,D. Booker misses 2-pt layup from 2 ft (block by K. O'Quinn),36,D. Booker - bookede01,miss,2-pt layup
2759311,2016-01-29,D. Booker makes 2-pt jump shot from 4 ft (assist by S. Weems),34,D. Booker - bookede01,make,2-pt jump shot
2773867,2016-02-02,D. Booker makes 2-pt layup from 1 ft,119,D. Booker - bookede01,make,2-pt layup
2773880,2016-02-02,D. Booker misses 3-pt jump shot from 25 ft,36,D. Booker - bookede01,miss,3-pt jump shot
2773898,2016-02-02,D. Booker misses 3-pt jump shot from 25 ft,15,D. Booker - bookede01,miss,3-pt jump shot
2790743,2016-02-06,D. Booker makes 3-pt jump shot from 25 ft (assist by A. Goodwin),112,D. Booker - bookede01,make,3-pt jump shot
2790748,2016-02-06,D. Booker makes 3-pt jump shot from 24 ft (assist by A. Goodwin),94,D. Booker - bookede01,make,3-pt jump shot
2790771,2016-02-06,D. Booker misses 2-pt jump shot from 19 ft,23,D. Booker - bookede01,miss,2-pt jump shot
2817728,2016-02-21,D. Booker misses 2-pt layup from 2 ft,43,D. Booker - bookede01,miss,2-pt layup
2817749,2016-02-21,D. Booker makes 3-pt jump shot from 25 ft (assist by P. Pressey),14,D. Booker - bookede01,make,3-pt jump shot
2855659,2016-03-03,D. Booker misses 3-pt jump shot from 24 ft,47,D. Booker - bookede01,miss,3-pt jump shot
2866606,2016-03-06,D. Booker makes 2-pt layup at rim,51,D. Booker - bookede01,make,2-pt layup
2895079,2016-03-14,D. Booker makes 2-pt jump shot from 12 ft,9,D. Booker - bookede01,make,2-pt jump shot
2909920,2016-03-18,D. Booker misses 2-pt jump shot from 22 ft,59,D. Booker - bookede01,miss,2-pt jump shot
2920604,2016-03-21,D. Booker misses 3-pt jump shot from 30 ft,5,D. Booker - bookede01,miss,3-pt jump shot
