,Date,Play,SecLeft,Shooter,ShotOutcome,ShotType
602333,2019-10-25,D. Booker makes 3-pt jump shot from 24 ft,6,D. Booker - bookede01,make,3-pt jump shot
608294,2019-10-26,D. Booker makes 3-pt jump shot from 29 ft (assist by T. Johnson),58,D. Booker - bookede01,make,3-pt jump shot
664101,2019-11-12,D. Booker misses 2-pt layup from 2 ft,56,D. Booker - bookede01,miss,2-pt layup
664113,2019-11-12,D. Booker misses 3-pt jump shot from 25 ft,21,D. Booker - bookede01,miss,3-pt jump shot
687253,2019-11-19,D. Booker makes 3-pt jump shot from 27 ft,83,D. Booker - bookede01,make,3-pt jump shot
687279,2019-11-19,D. Booker misses 3-pt jump shot from 23 ft,19,D. Booker - bookede01,miss,3-pt jump shot
687289,2019-11-19,D. Booker makes 3-pt jump shot from 25 ft (assist by K. Oubre),14,D. Booker - bookede01,make,3-pt jump shot
687293,2019-11-19,D. Booker misses 3-pt jump shot from 27 ft,9,D. Booker - bookede01,miss,3-pt jump shot
698976,2019-11-23,D. Booker makes 2-pt jump shot from 9 ft,114,D. Booker - bookede01,make,2-pt jump shot
698979,2019-11-23,D. Booker misses 2-pt jump shot from 20 ft,85,D. Booker - bookede01,miss,2-pt jump shot
698993,2019-11-23,D. Booker misses 3-pt jump shot from 26 ft,19,D. Booker - bookede01,miss,3-pt jump shot
716602,2019-11-27,D. Booker makes 2-pt layup at rim (assist by R. Rubio),65,D. Booker - bookede01,make,2-pt layup
716605,2019-11-27,D. Booker misses 2-pt layup from 1 ft,55,D. Booker - bookede01,miss,2-pt layup
716615,2019-11-27,D. Booker misses 3-pt jump shot from 29 ft,31,D. Booker - bookede01,miss,3-pt jump shot
716621,2019-11-27,D. Booker makes 2-pt hook shot from 6 ft (assist by R. Rubio),25,D. Booker - bookede01,make,2-pt hook shot
723205,2019-11-29,D. Booker makes 2-pt layup at rim,87,D. Booker - bookede01,make,2-pt layup
742950,2019-12-05,D. Booker misses 3-pt jump shot from 29 ft,16,D. Booker - bookede01,miss,3-pt jump shot
749517,2019-12-07,D. Booker makes 2-pt jump shot from 14 ft,94,D. Booker - bookede01,make,2-pt jump shot
757038,2019-12-09,D. Booker makes 2-pt jump shot from 17 ft (assist by R. Rubio),70,D. Booker - bookede01,make,2-pt jump shot
763640,2019-12-11,D. Booker makes 2-pt jump shot from 15 ft,24,D. Booker - bookede01,make,2-pt jump shot
805200,2019-12-23,D. Booker misses 2-pt jump shot from 11 ft,105,D. Booker - bookede01,miss,2-pt jump shot
805213,2019-12-23,D. Booker makes 3-pt jump shot from 27 ft (assist by R. Rubio),25,D. Booker - bookede01,make,3-pt jump shot
805223,2019-12-23,D. Booker misses 3-pt jump shot from 23 ft (block by J. Grant),1,D. Booker - bookede01,miss,3-pt jump shot
814582,2019-12-27,D. Booker misses 2-pt jump shot from 10 ft,108,D. Booker - bookede01,miss,2-pt jump shot
814589,2019-12-27,D. Booker misses 3-pt jump shot from 27 ft,64,D. Booker - bookede01,miss,3-pt jump shot
820270,2019-12-28,D. Booker misses 2-pt jump shot from 15 ft,116,D. Booker - bookede01,miss,2-pt jump shot
820277,2019-12-28,D. Booker misses 3-pt jump shot from 25 ft,48,D. Booker - bookede01,miss,3-pt jump shot
820279,2019-12-28,D. Booker misses 2-pt jump shot from 14 ft,32,D. Booker - bookede01,miss,2-pt jump shot
826374,2019-12-30,D. Booker makes 2-pt jump shot from 17 ft (assist by R. Rubio),111,D. Booker - bookede01,make,2-pt jump shot
826378,2019-12-30,D. Booker makes 2-pt jump shot from 18 ft,81,D. Booker - bookede01,make,2-pt jump shot
826383,2019-12-30,D. Booker makes 2-pt layup from 2 ft (assist by R. Rubio),60,D. Booker - bookede01,make,2-pt layup
831586,2020-01-01,D. Booker makes 2-pt layup from 2 ft (assist by T. Johnson),76,D. Booker - bookede01,make,2-pt layup
831590,2020-01-01,D. Booker misses 2-pt jump shot from 11 ft,52,D. Booker - bookede01,miss,2-pt jump shot
831598,2020-01-01,D. Booker misses 3-pt jump shot from 26 ft,32,D. Booker - bookede01,miss,3-pt jump shot
845632,2020-01-05,D. Booker makes 2-pt layup from 1 ft (assist by D. Ayton),70,D. Booker - bookede01,make,2-pt layup
845658,2020-01-05,D. Booker misses 3-pt jump shot from 23 ft,13,D. Booker - bookede01,miss,3-pt jump shot
