,Date,Play,SecLeft,Shooter,ShotOutcome,ShotType
1135861,2016-10-26,D. Booker makes 2-pt layup from 2 ft (assist by T. Ulis),21,D. Booker - bookede01,make,2-pt layup
1140627,2016-10-28,D. Booker misses 3-pt jump shot from 25 ft,103,D. Booker - bookede01,miss,3-pt jump shot
1140631,2016-10-28,D. Booker makes 2-pt jump shot from 8 ft,71,D. Booker - bookede01,make,2-pt jump shot
1148170,2016-10-30,D. Booker misses 2-pt layup at rim,95,D. Booker - bookede01,miss,2-pt layup
1148198,2016-10-30,D. Booker misses 3-pt jump shot from 25 ft,5,D. Booker - bookede01,miss,3-pt jump shot
1159788,2016-11-02,D. Booker misses 2-pt jump shot from 16 ft,93,D. Booker - bookede01,miss,2-pt jump shot
1165514,2016-11-04,D. Booker misses 3-pt jump shot from 25 ft,91,D. Booker - bookede01,miss,3-pt jump shot
1165528,2016-11-04,D. Booker misses 3-pt jump shot from 25 ft,32,D. Booker - bookede01,miss,3-pt jump shot
1165532,2016-11-04,D. Booker makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),12,D. Booker - bookede01,make,3-pt jump shot
1165541,2016-11-04,D. Booker makes 2-pt jump shot from 21 ft,0,D. Booker - bookede01,make,2-pt jump shot
1173373,2016-11-06,D. Booker makes 2-pt layup from 1 ft,58,D. Booker - bookede01,make,2-pt layup
1173384,2016-11-06,D. Booker makes 2-pt jump shot from 4 ft,37,D. Booker - bookede01,make,2-pt jump shot
1173388,2016-11-06,D. Booker misses 3-pt jump shot from 26 ft,25,D. Booker - bookede01,miss,3-pt jump shot
1178363,2016-11-08,D. Booker makes 3-pt jump shot from 26 ft,5,D. Booker - bookede01,make,3-pt jump shot
1178367,2016-11-08,D. Booker misses 3-pt jump shot from 34 ft,0,D. Booker - bookede01,miss,3-pt jump shot
1182917,2016-11-09,D. Booker misses 2-pt jump shot from 15 ft (block by I. Smith),47,D. Booker - bookede01,miss,2-pt jump shot
1196734,2016-11-13,D. Booker misses 2-pt jump shot from 17 ft,2,D. Booker - bookede01,miss,2-pt jump shot
1207313,2016-11-16,D. Booker makes 2-pt jump shot from 6 ft,18,D. Booker - bookede01,make,2-pt jump shot
1223903,2016-11-21,D. Booker makes 2-pt jump shot from 18 ft (assist by J. Dudley),117,D. Booker - bookede01,make,2-pt jump shot
1223908,2016-11-21,D. Booker makes 2-pt jump shot from 15 ft,87,D. Booker - bookede01,make,2-pt jump shot
1223922,2016-11-21,D. Booker misses 2-pt layup from 2 ft,26,D. Booker - bookede01,miss,2-pt layup
1223928,2016-11-21,D. Booker misses 3-pt jump shot from 28 ft,14,D. Booker - bookede01,miss,3-pt jump shot
1243909,2016-11-27,D. Booker makes 2-pt layup at rim (assist by E. Bledsoe),48,D. Booker - bookede01,make,2-pt layup
1243916,2016-11-27,D. Booker misses 3-pt jump shot from 26 ft,24,D. Booker - bookede01,miss,3-pt jump shot
1243918,2016-11-27,D. Booker misses 3-pt jump shot from 26 ft,17,D. Booker - bookede01,miss,3-pt jump shot
1243920,2016-11-27,D. Booker misses 3-pt jump shot from 24 ft,12,D. Booker - bookede01,miss,3-pt jump shot
1256392,2016-11-30,D. Booker makes 2-pt jump shot from 21 ft,85,D. Booker - bookede01,make,2-pt jump shot
1301348,2016-12-13,D. Booker misses 3-pt jump shot from 26 ft,110,D. Booker - bookede01,miss,3-pt jump shot
1301363,2016-12-13,D. Booker misses 3-pt jump shot from 26 ft,19,D. Booker - bookede01,miss,3-pt jump shot
1329675,2016-12-21,D. Booker misses 2-pt jump shot from 11 ft,92,D. Booker - bookede01,miss,2-pt jump shot
1329685,2016-12-21,D. Booker makes 2-pt dunk at rim,29,D. Booker - bookede01,make,2-pt dunk
1329689,2016-12-21,D. Booker misses 2-pt jump shot from 5 ft,25,D. Booker - bookede01,miss,2-pt jump shot
1354557,2016-12-29,D. Booker makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),111,D. Booker - bookede01,make,3-pt jump shot
1354567,2016-12-29,D. Booker misses 3-pt jump shot from 27 ft,61,D. Booker - bookede01,miss,3-pt jump shot
1362412,2016-12-31,D. Booker misses 2-pt jump shot from 4 ft,119,D. Booker - bookede01,miss,2-pt jump shot
1362418,2016-12-31,D. Booker misses 2-pt jump shot from 5 ft,103,D. Booker - bookede01,miss,2-pt jump shot
1362434,2016-12-31,D. Booker misses 3-pt jump shot from 25 ft,6,D. Booker - bookede01,miss,3-pt jump shot
1368361,2017-01-02,D. Booker misses 2-pt layup from 2 ft,60,D. Booker - bookede01,miss,2-pt layup
1368370,2017-01-02,D. Booker misses 3-pt jump shot from 25 ft,24,D. Booker - bookede01,miss,3-pt jump shot
1371362,2017-01-03,D. Booker makes 2-pt jump shot from 19 ft,30,D. Booker - bookede01,make,2-pt jump shot
1388368,2017-01-08,D. Booker makes 2-pt layup from 2 ft,112,D. Booker - bookede01,make,2-pt layup
1388384,2017-01-08,D. Booker misses 2-pt jump shot from 3 ft (block by I. Shumpert),7,D. Booker - bookede01,miss,2-pt jump shot
1400097,2017-01-12,D. Booker makes 2-pt layup from 1 ft,103,D. Booker - bookede01,make,2-pt layup
1400106,2017-01-12,D. Booker makes 3-pt jump shot from 24 ft (assist by P. Tucker),43,D. Booker - bookede01,make,3-pt jump shot
1400111,2017-01-12,D. Booker makes 3-pt jump shot from 26 ft,15,D. Booker - bookede01,make,3-pt jump shot
1400122,2017-01-12,D. Booker misses 2-pt jump shot from 7 ft,2,D. Booker - bookede01,miss,2-pt jump shot
1405952,2017-01-14,D. Booker misses 2-pt layup from 1 ft,119,D. Booker - bookede01,miss,2-pt layup
1405967,2017-01-14,D. Booker makes 2-pt dunk at rim (assist by E. Bledsoe),53,D. Booker - bookede01,make,2-pt dunk
1413684,2017-01-16,D. Booker misses 2-pt jump shot from 15 ft,34,D. Booker - bookede01,miss,2-pt jump shot
1413703,2017-01-16,D. Booker misses 3-pt jump shot from 24 ft,2,D. Booker - bookede01,miss,3-pt jump shot
1429795,2017-01-21,D. Booker makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),32,D. Booker - bookede01,make,3-pt jump shot
1429799,2017-01-21,D. Booker misses 2-pt jump shot from 11 ft,7,D. Booker - bookede01,miss,2-pt jump shot
1446512,2017-01-26,D. Booker misses 2-pt layup from 3 ft (block by G. Harris),108,D. Booker - bookede01,miss,2-pt layup
1446534,2017-01-26,D. Booker misses 2-pt jump shot from 22 ft,27,D. Booker - bookede01,miss,2-pt jump shot
1461159,2017-01-30,D. Booker misses 2-pt jump shot from 9 ft,42,D. Booker - bookede01,miss,2-pt jump shot
1475657,2017-02-03,D. Booker misses 2-pt jump shot from 22 ft,61,D. Booker - bookede01,miss,2-pt jump shot
1475668,2017-02-03,D. Booker makes 2-pt jump shot from 20 ft,0,D. Booker - bookede01,make,2-pt jump shot
