,Date,Play,SecLeft,Shooter,ShotOutcome,ShotType
2347986,2020-12-23,D. Booker makes 2-pt jump shot from 18 ft,40,D. Booker - bookede01,make,2-pt jump shot
2347990,2020-12-23,D. Booker misses 2-pt jump shot from 22 ft,11,D. Booker - bookede01,miss,2-pt jump shot
2355420,2020-12-26,D. Booker misses 3-pt jump shot from 24 ft,43,D. Booker - bookede01,miss,3-pt jump shot
2355435,2020-12-26,D. Booker misses 3-pt jump shot from 26 ft,8,D. Booker - bookede01,miss,3-pt jump shot
2373190,2020-12-31,D. Booker makes 2-pt jump shot from 17 ft (assist by C. Paul),102,D. Booker - bookede01,make,2-pt jump shot
2373194,2020-12-31,D. Booker makes 3-pt jump shot from 25 ft,71,D. Booker - bookede01,make,3-pt jump shot
2376876,2021-01-01,D. Booker makes 3-pt jump shot from 27 ft,97,D. Booker - bookede01,make,3-pt jump shot
2376879,2021-01-01,D. Booker misses 2-pt jump shot from 16 ft,66,D. Booker - bookede01,miss,2-pt jump shot
2383851,2021-01-03,D. Booker misses 2-pt jump shot from 22 ft,99,D. Booker - bookede01,miss,2-pt jump shot
2383863,2021-01-03,D. Booker misses 3-pt jump shot from 27 ft,34,D. Booker - bookede01,miss,3-pt jump shot
2407339,2021-01-06,D. Booker makes 2-pt jump shot from 20 ft,94,D. Booker - bookede01,make,2-pt jump shot
2418437,2021-01-20,D. Booker makes 2-pt layup from 2 ft,15,D. Booker - bookede01,make,2-pt layup
2425052,2021-01-18,D. Booker misses 2-pt dunk from 2 ft,116,D. Booker - bookede01,miss,2-pt dunk
2425056,2021-01-18,D. Booker misses 3-pt jump shot from 27 ft,89,D. Booker - bookede01,miss,3-pt jump shot
2425060,2021-01-18,D. Booker misses 2-pt layup at rim,49,D. Booker - bookede01,miss,2-pt layup
2425082,2021-01-18,D. Booker misses 3-pt jump shot from 27 ft,6,D. Booker - bookede01,miss,3-pt jump shot
2435186,2021-01-08,D. Booker misses 2-pt jump shot from 21 ft,0,D. Booker - bookede01,miss,2-pt jump shot
