,Date,Play,SecLeft,Shooter,ShotOutcome,ShotType
237274,2017-12-29,D. Booker makes 2-pt layup from 3 ft,113,D. Booker - bookede01,make,2-pt layup
237277,2017-12-29,D. Booker misses 2-pt jump shot from 15 ft,85,D. Booker - bookede01,miss,2-pt jump shot
237279,2017-12-29,D. Booker makes 2-pt jump shot from 14 ft,58,D. Booker - bookede01,make,2-pt jump shot
237281,2017-12-29,D. Booker makes 3-pt jump shot from 28 ft,25,D. Booker - bookede01,make,3-pt jump shot
245070,2017-12-31,D. Booker misses 2-pt jump shot from 21 ft,109,D. Booker - bookede01,miss,2-pt jump shot
245081,2017-12-31,D. Booker misses 2-pt layup from 1 ft,83,D. Booker - bookede01,miss,2-pt layup
245087,2017-12-31,D. Booker misses 2-pt layup at rim,57,D. Booker - bookede01,miss,2-pt layup
248404,2018-01-02,D. Booker makes 3-pt jump shot from 27 ft (assist by T. Warren),37,D. Booker - bookede01,make,3-pt jump shot
264865,2018-01-07,D. Booker misses 3-pt jump shot from 26 ft,76,D. Booker - bookede01,miss,3-pt jump shot
264868,2018-01-07,D. Booker misses 2-pt jump shot from 18 ft,36,D. Booker - bookede01,miss,2-pt jump shot
293825,2018-01-16,D. Booker makes 2-pt jump shot from 21 ft,90,D. Booker - bookede01,make,2-pt jump shot
293837,2018-01-16,D. Booker makes 3-pt jump shot from 28 ft,42,D. Booker - bookede01,make,3-pt jump shot
293842,2018-01-16,D. Booker misses 3-pt jump shot from 28 ft,15,D. Booker - bookede01,miss,3-pt jump shot
302245,2018-01-19,D. Booker misses 2-pt jump shot from 9 ft,101,D. Booker - bookede01,miss,2-pt jump shot
302249,2018-01-19,D. Booker misses 3-pt jump shot from 22 ft,67,D. Booker - bookede01,miss,3-pt jump shot
311236,2018-01-22,D. Booker misses 2-pt jump shot from 8 ft,109,D. Booker - bookede01,miss,2-pt jump shot
311263,2018-01-22,D. Booker misses 3-pt jump shot from 26 ft,4,D. Booker - bookede01,miss,3-pt jump shot
329833,2018-01-28,D. Booker misses 2-pt jump shot from 13 ft (block by L. Mbah a Moute),52,D. Booker - bookede01,miss,2-pt jump shot
342283,2018-01-31,D. Booker misses 2-pt jump shot from 21 ft,93,D. Booker - bookede01,miss,2-pt jump shot
387856,2018-02-14,D. Booker misses 3-pt jump shot from 26 ft,45,D. Booker - bookede01,miss,3-pt jump shot
387858,2018-02-14,D. Booker misses 3-pt jump shot from 25 ft,35,D. Booker - bookede01,miss,3-pt jump shot
396218,2018-02-23,D. Booker misses 3-pt jump shot from 25 ft,96,D. Booker - bookede01,miss,3-pt jump shot
399846,2018-02-24,D. Booker misses 3-pt jump shot from 28 ft,98,D. Booker - bookede01,miss,3-pt jump shot
399859,2018-02-24,D. Booker makes 2-pt layup at rim,33,D. Booker - bookede01,make,2-pt layup
405900,2018-02-26,D. Booker makes 2-pt jump shot from 1 ft,96,D. Booker - bookede01,make,2-pt jump shot
405905,2018-02-26,D. Booker misses 3-pt jump shot from 24 ft,74,D. Booker - bookede01,miss,3-pt jump shot
412670,2018-02-28,D. Booker misses 2-pt jump shot from 17 ft,115,D. Booker - bookede01,miss,2-pt jump shot
412673,2018-02-28,D. Booker makes 2-pt jump shot from 17 ft,75,D. Booker - bookede01,make,2-pt jump shot
412686,2018-02-28,D. Booker makes 2-pt layup at rim (assist by E. Payton),26,D. Booker - bookede01,make,2-pt layup
424634,2018-03-04,D. Booker makes 3-pt jump shot from 25 ft (assist by D. Bender),108,D. Booker - bookede01,make,3-pt jump shot
424640,2018-03-04,D. Booker misses 2-pt jump shot from 17 ft,82,D. Booker - bookede01,miss,2-pt jump shot
424653,2018-03-04,D. Booker misses 2-pt jump shot from 14 ft,0,D. Booker - bookede01,miss,2-pt jump shot
