,Date,Play,SecLeft,Shooter,ShotOutcome,ShotType
12147,2017-10-20,D. Booker misses 3-pt jump shot from 24 ft,111,D. Booker - bookede01,miss,3-pt jump shot
12178,2017-10-20,D. Booker makes 3-pt jump shot from 27 ft (assist by T. Warren),6,D. Booker - bookede01,make,3-pt jump shot
22377,2017-10-23,D. Booker makes 3-pt jump shot from 25 ft,89,D. Booker - bookede01,make,3-pt jump shot
22379,2017-10-23,D. Booker misses 3-pt jump shot from 25 ft,70,D. Booker - bookede01,miss,3-pt jump shot
28778,2017-10-25,D. Booker makes 3-pt jump shot from 25 ft,89,D. Booker - bookede01,make,3-pt jump shot
28780,2017-10-25,D. Booker makes 2-pt layup from 10 ft,58,D. Booker - bookede01,make,2-pt layup
28792,2017-10-25,D. Booker misses 2-pt layup from 4 ft,22,D. Booker - bookede01,miss,2-pt layup
38294,2017-10-28,D. Booker misses 2-pt layup from 1 ft (block by J. Nurki),24,D. Booker - bookede01,miss,2-pt layup
49808,2017-11-01,D. Booker misses 3-pt jump shot from 26 ft,94,D. Booker - bookede01,miss,3-pt jump shot
74360,2017-11-08,D. Booker misses 3-pt jump shot from 25 ft,112,D. Booker - bookede01,miss,3-pt jump shot
74364,2017-11-08,D. Booker misses 2-pt jump shot from 14 ft,86,D. Booker - bookede01,miss,2-pt jump shot
74373,2017-11-08,D. Booker misses 2-pt layup from 5 ft (block by H. Whiteside),70,D. Booker - bookede01,miss,2-pt layup
85413,2017-11-11,D. Booker makes 2-pt jump shot from 8 ft,85,D. Booker - bookede01,make,2-pt jump shot
89856,2017-11-13,D. Booker misses 2-pt jump shot from 15 ft,104,D. Booker - bookede01,miss,2-pt jump shot
89869,2017-11-13,D. Booker misses 3-pt jump shot from 25 ft,51,D. Booker - bookede01,miss,3-pt jump shot
89881,2017-11-13,D. Booker misses 2-pt layup from 5 ft,37,D. Booker - bookede01,miss,2-pt layup
103735,2017-11-17,D. Booker misses 3-pt jump shot from 26 ft,41,D. Booker - bookede01,miss,3-pt jump shot
103738,2017-11-17,D. Booker misses 3-pt jump shot from 26 ft,10,D. Booker - bookede01,miss,3-pt jump shot
120576,2017-11-22,D. Booker makes 3-pt jump shot from 28 ft (assist by T. Ulis),1,D. Booker - bookede01,make,3-pt jump shot
135816,2017-11-28,D. Booker misses 2-pt jump shot from 21 ft,95,D. Booker - bookede01,miss,2-pt jump shot
135824,2017-11-28,D. Booker misses 3-pt jump shot from 27 ft,43,D. Booker - bookede01,miss,3-pt jump shot
147764,2017-12-02,D. Booker makes 2-pt jump shot from 14 ft,73,D. Booker - bookede01,make,2-pt jump shot
147776,2017-12-02,D. Booker makes 3-pt jump shot from 25 ft,18,D. Booker - bookede01,make,3-pt jump shot
154511,2017-12-04,D. Booker makes 3-pt jump shot from 25 ft,87,D. Booker - bookede01,make,3-pt jump shot
154518,2017-12-04,D. Booker makes 2-pt jump shot from 20 ft,53,D. Booker - bookede01,make,2-pt jump shot
227062,2017-12-26,D. Booker misses 2-pt layup at rim,98,D. Booker - bookede01,miss,2-pt layup
227066,2017-12-26,D. Booker misses 3-pt jump shot from 24 ft,65,D. Booker - bookede01,miss,3-pt jump shot
